"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";
"C1";"0.1uF";"B32922X2104K000";"B32922X_(18_X_5)";"EMI Suppression Capacitors, 0.1uF, 275Vrms AC, 5m(W) x 10.5m(H) x 18m(L)";"B32922X2104K000";"https://www.arrow.com/en/products/b32922x2104k000/epcos-tdk?region=nac";"EMI Suppression Capacitors, 0.1uF, 275Vrms AC, 5m(W) x 10.5m(H) x 18m(L)";"10.5mm";"TDK";"B32922X2104K000";"871-B32922X2104K000";"https://www.mouser.co.uk/ProductDetail/EPCOS-TDK/B32922X2104K000?qs=TuK3vfAjtkWDVip5zaCELA%3D%3D";"";"";
"C2";"220uF";"860010473011";"CAPPRD250W52D630H1250";"Wurth Elektronik 220uF 25 V dc Aluminium Electrolytic Capacitor, WCAP-ATG8 Series 2000h 6.3 (Dia.) x 11mm";"";"";"Wurth Elektronik 220uF 25 V dc Aluminium Electrolytic Capacitor, WCAP-ATG8 Series 2000h 6.3 (Dia.) x 11mm";"12.5mm";"Wurth Elektronik";"860010473011";"710-860010473011";"https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/860010473011?qs=0KOYDY2FL2%252Bm07azjhm%2FHQ%3D%3D";"";"";
"C3";"18pF";"04025U180FAT2A";"CAPC1005X56N";"AVX - 04025U180FAT2A - CAP, MLCC, C0G / NP0, 18PF, 50V, 0402";"04025U180FAT2A";"https://www.arrow.com/en/products/04025u180fat2a/avx";"AVX - 04025U180FAT2A - CAP, MLCC, C0G / NP0, 18PF, 50V, 0402";"0.56mm";"AVX";"04025U180FAT2A";"581-04025U180FAT2A";"https://www.mouser.co.uk/ProductDetail/AVX/04025U180FAT2A/?qs=lqAf%2FiVYw9iIZ7dTMzpUiQ%3D%3D";"";"";
"C4";"18pF";"04025U180FAT2A";"CAPC1005X56N";"AVX - 04025U180FAT2A - CAP, MLCC, C0G / NP0, 18PF, 50V, 0402";"04025U180FAT2A";"https://www.arrow.com/en/products/04025u180fat2a/avx";"AVX - 04025U180FAT2A - CAP, MLCC, C0G / NP0, 18PF, 50V, 0402";"0.56mm";"AVX";"04025U180FAT2A";"581-04025U180FAT2A";"https://www.mouser.co.uk/ProductDetail/AVX/04025U180FAT2A/?qs=lqAf%2FiVYw9iIZ7dTMzpUiQ%3D%3D";"";"";
"C16";"0.1uF";"C0402C104K4RACTU";"C0402";"SMD Comm X7R, Ceramic, 0.1 uF, 10%, 16 VDC, 40 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 10 % , 5 GOhms, 1.21 mg, 0402, 1mm, 0.5mm, 0.5mm, 0.3mm, 0.3mm, 10000, 78  Weeks, 80";"C0402C104K4RACTU";"https://www.arrow.com/en/products/c0402c104k4ractu/kemet-corporation?region=nac";"SMD Comm X7R, Ceramic, 0.1 uF, 10%, 16 VDC, 40 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 10 % , 5 GOhms, 1.21 mg, 0402, 1mm, 0.5mm, 0.5mm, 0.3mm, 0.3mm, 10000, 78  Weeks, 80";"0.55mm";"KEMET";"C0402C104K4RACTU";"80-C0402C104K4R";"https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K4RACTU?qs=DBJr%252BvBUjU54jK7d4uAeew%3D%3D";"";"";
"C17";"0.1uF";"C0402C104K4RACTU";"C0402";"SMD Comm X7R, Ceramic, 0.1 uF, 10%, 16 VDC, 40 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 10 % , 5 GOhms, 1.21 mg, 0402, 1mm, 0.5mm, 0.5mm, 0.3mm, 0.3mm, 10000, 78  Weeks, 80";"C0402C104K4RACTU";"https://www.arrow.com/en/products/c0402c104k4ractu/kemet-corporation?region=nac";"SMD Comm X7R, Ceramic, 0.1 uF, 10%, 16 VDC, 40 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 10 % , 5 GOhms, 1.21 mg, 0402, 1mm, 0.5mm, 0.5mm, 0.3mm, 0.3mm, 10000, 78  Weeks, 80";"0.55mm";"KEMET";"C0402C104K4RACTU";"80-C0402C104K4R";"https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K4RACTU?qs=DBJr%252BvBUjU54jK7d4uAeew%3D%3D";"";"";
"C18";"1000pF";"C4520X7R3D102K130KA";"C4520_COMMERCIAL";"MULTILAYER CERAMIC CHIP CAPACITORS, 4520, Commercial grade, general (Up to 75V)";"C4520X7R3D102K130KA";"https://www.arrow.com/en/products/c4520x7r3d102k130ka/tdk";"MULTILAYER CERAMIC CHIP CAPACITORS, 4520, Commercial grade, general (Up to 75V)";"1mm";"TDK";"C4520X7R3D102K130KA";"810-C4520X7R3D102K";"https://www.mouser.co.uk/ProductDetail/TDK/C4520X7R3D102K130KA?qs=NRhsANhppD%2FmDDEB06mgKg%3D%3D";"";"";
"C19";"22pF";"CBR04C220J5GAC";"CBR04C";"CBR-SMD RF C0G, Ceramic, 22 pF, 5%, 50 VDC, 125 VDC, 125C, -55C, C0G, SMD, Fixed, RF, Ultra High Q, Low ESR, Class I, 0.12 % , 10 GOhms, 840, 1.4 mg, 0402, 1mm, 0.5mm, 0.5mm, 0.25mm, 10000, 78  Weeks, 120";"CBR04C220J5GAC";"https://www.arrow.com/en/products/cbr04c220j5gac/kemet-corporation?region=nac";"CBR-SMD RF C0G, Ceramic, 22 pF, 5%, 50 VDC, 125 VDC, 125C, -55C, C0G, SMD, Fixed, RF, Ultra High Q, Low ESR, Class I, 0.12 % , 10 GOhms, 840, 1.4 mg, 0402, 1mm, 0.5mm, 0.5mm, 0.25mm, 10000, 78  Weeks, 120";"mm";"KEMET";"CBR04C220J5GAC";"80-CBR04C220J5G";"https://www.mouser.co.uk/ProductDetail/KEMET/CBR04C220J5GAC?qs=BjUX18ghZXi0endstTtQyQ%3D%3D";"";"";
"C20";"22pF";"CBR04C220J5GAC";"CBR04C";"CBR-SMD RF C0G, Ceramic, 22 pF, 5%, 50 VDC, 125 VDC, 125C, -55C, C0G, SMD, Fixed, RF, Ultra High Q, Low ESR, Class I, 0.12 % , 10 GOhms, 840, 1.4 mg, 0402, 1mm, 0.5mm, 0.5mm, 0.25mm, 10000, 78  Weeks, 120";"CBR04C220J5GAC";"https://www.arrow.com/en/products/cbr04c220j5gac/kemet-corporation?region=nac";"CBR-SMD RF C0G, Ceramic, 22 pF, 5%, 50 VDC, 125 VDC, 125C, -55C, C0G, SMD, Fixed, RF, Ultra High Q, Low ESR, Class I, 0.12 % , 10 GOhms, 840, 1.4 mg, 0402, 1mm, 0.5mm, 0.5mm, 0.25mm, 10000, 78  Weeks, 120";"mm";"KEMET";"CBR04C220J5GAC";"80-CBR04C220J5G";"https://www.mouser.co.uk/ProductDetail/KEMET/CBR04C220J5GAC?qs=BjUX18ghZXi0endstTtQyQ%3D%3D";"";"";
"C28";"0.1uF";"C0805C104K5RAC7411";"CAPC2012X88N";"Cap Ceramic 0.1uF 50V X7R 10% Pad SMD 0805 125C T/R";"C0805C104K5RAC7411";"https://www.arrow.com/en/products/c0805c104k5rac7411/kemet-corporation";"Cap Ceramic 0.1uF 50V X7R 10% Pad SMD 0805 125C T/R";"0.88mm";"KEMET";"C0805C104K5RAC7411";"80-C0805C104K5RACLR";"https://www.mouser.co.uk/ProductDetail/KEMET/C0805C104K5RAC7411?qs=jbRM9o5BbzPcVXF0wW9AYg%3D%3D";"";"";
"D1";"BAS16";"BAS16";"SOT95P240X110-3N";"Small signal diode,BAS16 0.25A 85V Infineon BAS16, SMT Switching Diode, 85V 250mA, 4ns, 3-Pin SOT-23";"";"";"Small signal diode,BAS16 0.25A 85V Infineon BAS16, SMT Switching Diode, 85V 250mA, 4ns, 3-Pin SOT-23";"1.1mm";"Infineon";"BAS16";"";"";"";"";
"DS14";"HDSM-283L";"HDSM-283L";"HDSM283L";"LED Displays & Accessories Org 605nm 8.5mcd CC SD 7 Segment";"";"";"LED Displays & Accessories Org 605nm 8.5mcd CC SD 7 Segment";"3.15mm";"Avago Technologies";"HDSM-283L";"630-HDSM-283L";"https://www.mouser.co.uk/ProductDetail/Broadcom-Avago/HDSM-283L?qs=NCV3C3qdz%2FC%2FCUC6%2FdWPrA%3D%3D";"";"";
"DS15";"HDSM-283L";"HDSM-283L";"HDSM283L";"LED Displays & Accessories Org 605nm 8.5mcd CC SD 7 Segment";"";"";"LED Displays & Accessories Org 605nm 8.5mcd CC SD 7 Segment";"3.15mm";"Avago Technologies";"HDSM-283L";"630-HDSM-283L";"https://www.mouser.co.uk/ProductDetail/Broadcom-Avago/HDSM-283L?qs=NCV3C3qdz%2FC%2FCUC6%2FdWPrA%3D%3D";"";"";
"DS16";"HDSM-283L";"HDSM-283L";"HDSM283L";"LED Displays & Accessories Org 605nm 8.5mcd CC SD 7 Segment";"";"";"LED Displays & Accessories Org 605nm 8.5mcd CC SD 7 Segment";"3.15mm";"Avago Technologies";"HDSM-283L";"630-HDSM-283L";"https://www.mouser.co.uk/ProductDetail/Broadcom-Avago/HDSM-283L?qs=NCV3C3qdz%2FC%2FCUC6%2FdWPrA%3D%3D";"";"";
"DS17";"HDSM-283L";"HDSM-283L";"HDSM283L";"LED Displays & Accessories Org 605nm 8.5mcd CC SD 7 Segment";"";"";"LED Displays & Accessories Org 605nm 8.5mcd CC SD 7 Segment";"3.15mm";"Avago Technologies";"HDSM-283L";"630-HDSM-283L";"https://www.mouser.co.uk/ProductDetail/Broadcom-Avago/HDSM-283L?qs=NCV3C3qdz%2FC%2FCUC6%2FdWPrA%3D%3D";"";"";
"F1";"0.5A Slow Blow";"RST_500_AMMO";"RST500AMMO";"Fuse Micro Slow Blow Acting 0.5A 250V Radial 8.35 X 4 X 8.2mm Ammo CCC/PSE/SEMKO/VDE/cULus";"RST 500 AMMO";"https://www.arrow.com/en/products/rst500-ammo/bel-group";"Fuse Micro Slow Blow Acting 0.5A 250V Radial 8.35 X 4 X 8.2mm Ammo CCC/PSE/SEMKO/VDE/cULus";"7.9mm";"Stewart Connector";"RST 500 AMMO";"530-RST500AMMO";"https://www.mouser.co.uk/ProductDetail/Bel-Fuse/RST-500-AMMO?qs=MvPYbBWWJyujgJzBtIxlxw%3D%3D";"";"";
"IC2";"74HC14D";"74HC14D";"SOIC127P600X175-14N";"Inverter Schmitt Trigger 6-Element CMOS 14-Pin SOIC T/R";"74HC14D";"https://www.arrow.com/en/products/74hc14d/toshiba?region=nac";"Inverter Schmitt Trigger 6-Element CMOS 14-Pin SOIC T/R";"1.75mm";"Toshiba";"74HC14D";"757-74HC14D";"https://www.mouser.co.uk/ProductDetail/Toshiba/74HC14D?qs=y6ZabgHbY%252BwfUBrwO9UV%252Bg%3D%3D";"";"";
"IC6";"SN74AC11IPWREP";"SN74AC11IPWREP";"SOP65P640X120-14N";"Enhanced Product Triple 3-Input Positive-And Gates";"SN74AC11IPWREP";"https://www.arrow.com/en/products/sn74ac11ipwrep/texas-instruments";"Enhanced Product Triple 3-Input Positive-And Gates";"1.2mm";"Texas Instruments";"SN74AC11IPWREP";"595-SN74AC11IPWREP";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AC11IPWREP?qs=fSCvMSq5ISVmV1J44UEGNg%3D%3D";"";"";
"IC7";"SN74HCS238QDRQ1";"SN74HCS238QDRQ1";"SOIC127P600X175-16N";"Encoders, Decoders, Multiplexers & Demultiplexers Automotive 3-to-8 line decoder demultiplexer inverting and non-inverting 16-SOIC -40 to 125";"";"";"Encoders, Decoders, Multiplexers & Demultiplexers Automotive 3-to-8 line decoder demultiplexer inverting and non-inverting 16-SOIC -40 to 125";"1.75mm";"Texas Instruments";"SN74HCS238QDRQ1";"595-SN74HCS238QDRQ1";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74HCS238QDRQ1?qs=81r%252BiQLm7BTbbeD%2FUSf%252BqA%3D%3D";"";"";
"IC9";"KSZ8851SNLI-TR";"KSZ8851SNLI-TR";"QFN50P500X500X100-33N";"Microchip KSZ8851SNLI-TR, Ethernet Controller, 100Mbps MDI/MDIX, MII, SPI, 1.8 V, 2.5 V, 3.3 V, 32-Pin MLF";"KSZ8851SNLI-TR";"https://www.arrow.com/en/products/ksz8851snli-tr/microchip-technology";"Microchip KSZ8851SNLI-TR, Ethernet Controller, 100Mbps MDI/MDIX, MII, SPI, 1.8 V, 2.5 V, 3.3 V, 32-Pin MLF";"1mm";"Microchip";"KSZ8851SNLI-TR";"998-KSZ8851SNLITR";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/KSZ8851SNLI-TR?qs=U6T8BxXiZAVOThG4jr6SOQ%3D%3D";"";"";
"IC16";"ATSAM4S2AB-ANR";"ATSAM4S2AB-ANR";"QFP50P900X900X160-48N";"ARM Microcontrollers - MCU 48LQFP,GREEN,EXT TEMP(105C),MRL B,128K FLASH,64K SRAM";"ATSAM4S2AB-ANR";"https://www.arrow.com/en/products/atsam4s2ab-anr/microchip-technology";"ARM Microcontrollers - MCU 48LQFP,GREEN,EXT TEMP(105C),MRL B,128K FLASH,64K SRAM";"1.6mm";"Microchip";"ATSAM4S2AB-ANR";"556-ATSAM4S2AB-ANR";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/ATSAM4S2AB-ANR?qs=YCa%2FAAYMW03qmCNY%252BxWbcQ%3D%3D";"";"";
"IC17";"MAX31855JASA+";"MAX31855JASA+";"SOIC127P600X175-8N";"Sensor Interface Thermocouple To Digital Converter";"";"";"Sensor Interface Thermocouple To Digital Converter";"1.75mm";"Maxim Integrated";"MAX31855JASA+";"700-MAX31855JASA+";"https://www.mouser.co.uk/ProductDetail/Maxim-Integrated/MAX31855JASA%2b?qs=4Rc5iGDDRGgfomCSqMwnEw%3D%3D";"";"";
"IC18";"74HC14D";"74HC14D";"SOIC127P600X175-14N";"Inverter Schmitt Trigger 6-Element CMOS 14-Pin SOIC T/R";"74HC14D";"https://www.arrow.com/en/products/74hc14d/toshiba?region=nac";"Inverter Schmitt Trigger 6-Element CMOS 14-Pin SOIC T/R";"1.75mm";"Toshiba";"74HC14D";"757-74HC14D";"https://www.mouser.co.uk/ProductDetail/Toshiba/74HC14D?qs=y6ZabgHbY%252BwfUBrwO9UV%252Bg%3D%3D";"";"";
